Method,System,Amplitude,NoiseStd,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
MANFIZ_noise,1,1.0,0.02,4,2,0.02172162865280235,0.018355985965987982,0.9982425759183307,1.0,0.5927512485844002,0.23109532700020777,0,0.0,0.14372274236097934
MANFIZ_validation,1,1.0,0.02,4,1,0.0221102504716774,0.01859788812517435,0.9985578887087676,1.0,0.44036893102739894,0.1554551623158931,0,0.0,0.10869534073919138
MANFIZ_validation,1,1.0,0.02,4,2,0.02172162865280235,0.018355985965987982,0.9982425759183307,1.0,0.4681637826748683,0.1825225382574592,0,0.0,0.08666588801913483
MANFIZ_noise,1,1.0,0.005,5,1,0.008487945595365918,0.006642658990679735,0.9997902752748002,1.0,0.5625272888814103,0.21896297921992927,0,0.0,0.18754770085700595
MANFIZ_noise,1,1.0,0.005,5,2,0.007281872211466967,0.0058290256730568184,0.9997908356662796,1.0,0.5898065545878433,0.19738055131087062,0,0.0,0.17054351460027803
MANFIZ_validation,1,1.0,0.005,5,1,0.008487945595365918,0.006642658990679735,0.9997902752748002,1.0,0.4387852856197439,0.17079657338618717,0,0.0,0.13030997109013423
MANFIZ_validation,1,1.0,0.005,5,2,0.007281872211466967,0.0058290256730568184,0.9997908356662796,1.0,0.46514479701409656,0.1556621162648533,0,0.0,0.11676658594453623
MANFIZ_noise,1,1.0,0.01,5,1,0.01255619132134112,0.010330627971362622,0.9995411610686632,1.0,0.5625546178613837,0.21853687977869057,0,0.0,0.18113945516566823
MANFIZ_noise,1,1.0,0.01,5,2,0.011596117972867581,0.009611600778536079,0.9994697805487525,1.0,0.5898310058071893,0.19754922940461028,0,0.0,0.1623202166094874
MANFIZ_validation,1,1.0,0.01,5,1,0.01255619132134112,0.010330627971362622,0.9995411610686632,1.0,0.43881261459971693,0.1704665405942515,0,0.0,0.12540604511352474
MANFIZ_validation,1,1.0,0.01,5,2,0.011596117972867581,0.009611600778536079,0.9994697805487525,1.0,0.4651692482334441,0.15579687338660875,0,0.0,0.1085432879537456
MANFIZ_noise,1,1.0,0.02,5,1,0.02232690059645688,0.018785263441954605,0.9985505275396829,1.0,0.5626466258866382,0.2168360731482803,0,0.0,0.1654575660205198
MANFIZ_noise,1,1.0,0.02,5,2,0.021490207494541336,0.01820432468354671,0.9981814589090304,1.0,0.589932793325443,0.1979051512316748,0,0.0,0.14588294705003785
MANFIZ_validation,1,1.0,0.02,5,1,0.02232690059645688,0.018785263441954605,0.9985505275396829,1.0,0.4389046226249728,0.16914765054647612,0,0.0,0.1061397657965184
MANFIZ_validation,1,1.0,0.02,5,2,0.021490207494541336,0.01820432468354671,0.9981814589090304,1.0,0.465271035751698,0.15608478751470434,0,0.0,0.09210601839429605
MANFIZ_noise,1,1.0,0.005,6,1,0.00803652722906142,0.006404586773872832,0.9998103673256521,1.0,0.5677639773868646,0.22166033701164514,0,0.0,0.17464766950003563
MANFIZ_noise,1,1.0,0.005,6,2,0.0073066228453321546,0.005898201456771435,0.9997997848505045,1.0,0.5962520036012554,0.2263074603676883,0,0.0,0.17723492243915462
MANFIZ_validation,1,1.0,0.005,6,1,0.00803652722906142,0.006404586773872832,0.9998103673256521,1.0,0.44403248361536163,0.1733544111327693,0,0.0,0.12075784893163044
MANFIZ_validation,1,1.0,0.005,6,2,0.0073066228453321546,0.005898201456771435,0.9997997848505045,1.0,0.4714167184915157,0.17892622530796595,0,0.0,0.11724730915842412
MANFIZ_noise,1,1.0,0.01,6,1,0.01188002030463865,0.009783246119457124,0.9995855476457668,1.0,0.5677668555231669,0.22171492687095268,0,0.0,0.1665983082595315
MANFIZ_noise,1,1.0,0.01,6,2,0.011870268723483568,0.00994808443702057,0.9994717990919618,1.0,0.5962818774818305,0.2264890434240152,0,0.0,0.1709336166471604
MANFIZ_validation,1,1.0,0.01,6,1,0.01188002030463865,0.009783246119457124,0.9995855476457668,1.0,0.44403536175166436,0.17339734928375053,0,0.0,0.11270848769112632
MANFIZ_validation,1,1.0,0.01,6,2,0.011870268723483568,0.00994808443702057,0.9994717990919618,1.0,0.47144659237209025,0.17907216664507802,0,0.0,0.1109460033664299
MANFIZ_noise,1,1.0,0.02,6,1,0.02119787178424301,0.017797561008846108,0.9986806172062894,1.0,0.5678075346948906,0.22060672128138922,0,0.0,0.15050750934413712
MANFIZ_noise,1,1.0,0.02,6,2,0.022127022532913546,0.018866503096519098,0.9981672545022178,1.0,0.5963966875447757,0.22595860710614551,0,0.0,0.15834344987444893
MANFIZ_validation,1,1.0,0.02,6,1,0.02119787178424301,0.017797561008846108,0.9986806172062894,1.0,0.4440760409233871,0.17253409544903311,0,0.0,0.0963542381366726
MANFIZ_validation,1,1.0,0.02,6,2,0.022127022532913546,0.018866503096519098,0.9981672545022178,1.0,0.4715614024350351,0.17866188710386047,0,0.0,0.09835583659371845
MANFIZ_noise,1,1.0,0.005,7,1,0.008271961092260001,0.006483870191068962,0.9998010346502813,1.0,0.563494351066191,0.23164281251680258,0,0.0,0.18285588986139645
MANFIZ_noise,1,1.0,0.005,7,2,0.007164728273441558,0.005750000036266489,0.9998071346848609,1.0,0.5912716478959317,0.23782317653548601,0,0.0,0.18205263273880362
MANFIZ_validation,1,1.0,0.005,7,1,0.008271961092260001,0.006483870191068962,0.9998010346502813,1.0,0.43987671410052553,0.1808257332519846,0,0.0,0.12465700946727684
MANFIZ_validation,1,1.0,0.005,7,2,0.007164728273441558,0.005750000036266489,0.9998071346848609,1.0,0.46672567553127003,0.18772789651002128,0,0.0,0.1255692077266809
MANFIZ_noise,1,1.0,0.01,7,1,0.012454798161189091,0.010228753978515073,0.9995487439898773,1.0,0.5634875876618869,0.2301172905555151,0,0.0,0.17263125117677935
MANFIZ_noise,1,1.0,0.01,7,2,0.011531549079733708,0.009576301888330628,0.9995008745037613,1.0,0.5912984668794187,0.23676524318736375,0,0.0,0.17420163222782137
MANFIZ_validation,1,1.0,0.01,7,1,0.012454798161189091,0.010228753978515073,0.9995487439898773,1.0,0.4398699506962223,0.179634269622527,0,0.0,0.11443237078265973
MANFIZ_validation,1,1.0,0.01,7,2,0.011531549079733708,0.009576301888330628,0.9995008745037613,1.0,0.4667524945147581,0.18689506917769738,0,0.0,0.11771820721569864
MANFIZ_noise,1,1.0,0.02,7,1,0.0224120982885995,0.01892199842774421,0.9985381557814494,1.0,0.5635094157854432,0.2271398870288831,0,0.0,0.15218379248860794
MANFIZ_noise,1,1.0,0.02,7,2,0.02150454429218131,0.018215500510669266,0.9982685509170294,1.0,0.591404349832155,0.2346983791214349,0,0.0,0.15850516864254438
